PPN;SYS
110012992;001382014
173454135;001273018
801508746;001315023
044960913;000768344
149101880;001341168
089363299;001271807
089925084;001277883
115701710;001471511
86377136X;001497565
086093630;001243064
110524721;001316197
037023233;001309957
850771471;001276950
039948641;001335064
119436027;001487094
041810449;001368726
037059858;001285273
865146462;000063403
036056030;000063397
036065811;000063399
040019357;001344732
040019357;001344732
040019357;001344732
040019357;001344732
040019357;001344732
040019357;001344732
040019357;001344732
040019357;001344732
040019357;001344732
040019357;001344732
040019357;001344732
040019357;001344732
040019357;001344732
040019357;001344732
040019357;001344732
040019357;001344732
040019357;001344732
040019357;001344732
040019357;001344732
040019357;001344732
040019357;001344732
040019357;001344732
040019357;001344732
040019357;001344732
040019357;001344732
851697445;001255971
120929236;001501765
046107444;000026211
822524996;000216269
114155836;001449582
086400509;001246432
081383274;001246424
14575927X;001476152
197733972;001396459
112332277;001405672
087967251;001263042
11982423X;001491200
111054508;001393042
105378372;001355929
102436401;001347060
091481805;001288777
056215886;001485050
85272117X;001350045
114161089;001449670
053156145;001465631
851562701;000673509
093526768;001292859
107719894;001345087
101788088;001341060
155360701;001768410
265757495;001480364
049256203;001362363
186032668;000290427
159403758;001670593
058938443;000030935
059430419;000224564
840398352;000910637
865579865;000824859
098066706;001928135
864311257;000598663
082370443;001381147
042922445;001483261
113530064;001432300
862054044;001400455
852129939;001495381
043014577;001369043
141453370;001472312
037000357;001310192
047095156;001856126
047098295;000136284
036688770;001289481
244670110;001960649
244670978;001924537
185912532;001854351
047119837;001582481
202799395;001928141
065340701;001135614
204993202;001928778
062959581;000799597
244676356;001911426
058938427;000030933
062968882;000801907
047091029;001885079
244703000;001885081
244841322;001885082
244840938;001885083
062959638;000799603
180805258;001804991
06083739X;000481416
244848971;000566386
083875212;001281136
063682060;001452104
080672213;001433681
041677676;000988824
100704085;001333746
861807812;001262997
842381139;001362621
128123494;001360341
108083373;001369757
11385952X;001445829
115723498;000976448
154755796;001646912
065072731;001076430
120734052;001500442
084817208;001232222
086408267;001246589
110261909;001283917
049150502;001336200
047090723;001770911
059143738;000113499
059519649;000216643
153425725;001586375
040495817;001639634
853848025;001673569
056900554;000941164
267339143;000693475
267339143;000693475
267339143;000693475
267339143;000693475
111790476;001398136
111790476;001398136
111790476;001398136
111790476;001398136
036466689;001281114
036466689;001281114
036466689;001281114
